model,psnr,cossim
uni_v1,45dB,0.5142007
uni_v1,45dB,0.34851822
uni_v1,45dB,0.363352
uni_v1,45dB,0.5074684
uni_v1,45dB,0.6567984
uni_v1,45dB,0.41622207
uni_v1,45dB,0.74856496
uni_v1,45dB,0.39958215
uni_v1,45dB,0.3219675
uni_v1,45dB,0.56955254
uni_v1,45dB,0.40787756
uni_v1,45dB,0.5938566
uni_v1,45dB,0.50525415
uni_v1,45dB,0.63485783
uni_v1,45dB,0.4028286
uni_v1,45dB,0.6700703
uni_v1,45dB,0.30242744
uni_v1,45dB,0.72363096
uni_v1,45dB,0.28436822
uni_v1,45dB,0.40002406
uni_v1,45dB,0.42610434
uni_v1,45dB,0.39071503
uni_v1,45dB,0.59669125
uni_v1,45dB,0.31073844
uni_v1,45dB,0.62820494
uni_v1,45dB,0.44694456
uni_v1,45dB,0.5142482
uni_v1,45dB,0.75922763
uni_v1,45dB,0.508214
uni_v1,45dB,0.47756422
uni_v1,45dB,0.47493196
uni_v1,45dB,0.3966421
uni_v1,45dB,0.11916888
uni_v1,45dB,0.2687418
uni_v1,45dB,0.6633202
uni_v1,45dB,0.47271973
uni_v1,45dB,0.40873498
uni_v1,45dB,0.6465127
uni_v1,45dB,0.401345
uni_v1,45dB,0.2956666
uni_v1,45dB,0.69388574
uni_v1,45dB,0.39426008
uni_v1,45dB,0.6131672
uni_v1,45dB,0.36017025
uni_v1,45dB,0.5249598
uni_v1,45dB,0.3089736
uni_v1,45dB,0.15370755
uni_v1,45dB,0.48238018
uni_v1,45dB,0.52803767
uni_v1,45dB,0.5397627
uni_v1,45dB,0.5295237
uni_v1,45dB,0.44748968
uni_v1,45dB,0.6401137
uni_v1,45dB,0.62561333
uni_v1,45dB,0.6867044
uni_v1,45dB,0.3918748
uni_v1,45dB,0.57134235
uni_v1,45dB,0.6333513
uni_v1,45dB,0.611816
uni_v1,45dB,0.6323162
uni_v1,45dB,0.24886668
uni_v1,45dB,0.440252
uni_v1,45dB,0.4256875
uni_v1,45dB,0.35007593
uni_v1,45dB,0.46580544
uni_v1,45dB,0.42138374
uni_v1,45dB,0.18446356
uni_v1,45dB,0.4154358
uni_v1,45dB,0.5516322
uni_v1,45dB,0.4807743
uni_v1,45dB,0.3833802
uni_v1,45dB,0.55099666
uni_v1,45dB,0.2354652
uni_v1,45dB,0.30450678
uni_v1,45dB,0.2668821
uni_v1,45dB,0.53727436
uni_v1,45dB,0.5594603
uni_v1,45dB,0.4453318
uni_v1,45dB,0.6257005
uni_v1,45dB,0.6388203
uni_v1,45dB,0.32752156
uni_v1,45dB,0.3357998
uni_v1,45dB,0.3949232
uni_v1,45dB,0.3385556
uni_v1,45dB,0.66127336
uni_v1,45dB,0.3507905
uni_v1,45dB,0.47152436
uni_v1,45dB,0.35645103
uni_v1,45dB,0.44346255
uni_v1,45dB,0.36250407
uni_v1,45dB,0.46286553
uni_v1,45dB,0.496433
uni_v1,45dB,0.27314985
uni_v1,45dB,0.49672657
uni_v1,45dB,0.52478296
uni_v1,45dB,0.47945127
uni_v1,45dB,0.3690883
uni_v1,45dB,0.21169713
uni_v1,45dB,0.44284633
uni_v1,45dB,0.38596392
uni_v1,45dB,0.54098976
uni_v1,45dB,0.44441268
uni_v1,45dB,0.4145679
uni_v1,45dB,0.5216129
uni_v1,45dB,0.7421429
uni_v1,45dB,0.430237
uni_v1,45dB,0.4867352
uni_v1,45dB,0.57724375
uni_v1,45dB,0.49198878
uni_v1,45dB,0.0994773
uni_v1,45dB,0.44840148
uni_v1,45dB,0.451654
uni_v1,45dB,0.42269477
uni_v1,45dB,0.55148727
uni_v1,45dB,0.38240647
uni_v1,45dB,0.26799294
uni_v1,45dB,0.6665491
uni_v1,45dB,0.45463952
uni_v1,45dB,0.27330485
uni_v1,45dB,0.43069834
uni_v1,45dB,0.5351671
uni_v1,45dB,0.41790295
uni_v1,45dB,0.5163316
uni_v1,45dB,0.18692791
uni_v1,45dB,0.47620323
uni_v1,45dB,0.4856396
uni_v1,45dB,0.3773839
uni_v1,45dB,0.5854425
uni_v1,45dB,0.41027892
uni_v1,45dB,0.5135614
uni_v1,45dB,0.50865066
uni_v1,45dB,0.47025245
uni_v1,45dB,0.6061046
uni_v1,45dB,0.6080408
uni_v1,45dB,0.5663886
uni_v1,45dB,0.6101962
uni_v1,45dB,0.41588554
uni_v1,45dB,0.55942196
uni_v1,45dB,0.27056682
uni_v1,45dB,0.44290566
uni_v1,45dB,0.24314356
uni_v1,45dB,0.57418907
uni_v1,45dB,0.5250895
uni_v1,45dB,0.4886896
uni_v1,45dB,0.40217185
uni_v1,45dB,0.75382614
uni_v1,45dB,0.53154165
uni_v1,45dB,0.48333082
uni_v1,45dB,0.59712756
uni_v1,45dB,0.39692965
uni_v1,45dB,0.3474701
uni_v1,45dB,0.603921
uni_v1,45dB,0.59116036
uni_v1,45dB,0.6818281
uni_v1,45dB,0.39443767
uni_v1,45dB,0.5255805
uni_v1,45dB,0.27342308
uni_v1,45dB,0.3481142
uni_v1,45dB,0.4145447
uni_v1,45dB,0.45812643
uni_v1,45dB,0.57368225
uni_v1,45dB,0.35843962
uni_v1,45dB,0.4069293
uni_v1,45dB,0.53665274
uni_v1,45dB,0.14221647
uni_v1,45dB,0.4410197
uni_v1,45dB,0.6226283
uni_v1,45dB,0.35247403
uni_v1,45dB,0.35667184
uni_v1,45dB,0.45716748
uni_v1,45dB,0.48036188
uni_v1,45dB,0.4628337
uni_v1,45dB,0.40613288
uni_v1,45dB,0.64483446
uni_v1,45dB,0.61604017
uni_v1,45dB,0.38057584
uni_v1,45dB,0.33804527
uni_v1,45dB,0.08254555
uni_v1,45dB,0.49385613
uni_v1,45dB,0.5804686
uni_v1,45dB,0.5030254
uni_v1,45dB,0.12959094
uni_v1,45dB,0.4383735
uni_v1,45dB,0.24721667
uni_v1,45dB,0.28597552
uni_v1,45dB,0.33112553
uni_v1,45dB,0.41474473
uni_v1,45dB,0.6591697
uni_v1,45dB,0.47432688
uni_v1,45dB,0.35378316
uni_v1,45dB,0.32325566
uni_v1,45dB,0.13818562
uni_v1,45dB,0.599445
uni_v1,45dB,0.59757286
uni_v1,45dB,0.6772115
uni_v1,45dB,0.5133677
uni_v1,45dB,0.43706527
uni_v1,45dB,0.6903492
uni_v1,45dB,0.41920832
uni_v1,45dB,0.28815976
uni_v1,45dB,0.58063745
uni_v1,45dB,0.31132552
uni_v1,45dB,0.609283
uni_v1,45dB,0.3525733
uni_v1,45dB,0.49072984
uni_v1,45dB,0.50532657
uni_v1,45dB,0.53683096
uni_v1,45dB,0.44008082
uni_v1,45dB,0.6358543
uni_v1,45dB,0.2739574
uni_v1,45dB,0.51453805
uni_v1,45dB,0.37888557
uni_v1,45dB,0.3797627
uni_v1,45dB,0.41244704
uni_v1,45dB,0.5816305
uni_v1,45dB,0.29033256
uni_v1,45dB,0.42316929
uni_v1,45dB,0.417462
uni_v1,45dB,0.44888735
uni_v1,45dB,0.3478583
uni_v1,45dB,0.5108234
uni_v1,45dB,0.4864096
uni_v1,45dB,0.46522975
uni_v1,45dB,0.38517582
uni_v1,45dB,0.623384
uni_v1,45dB,0.46955204
uni_v1,45dB,0.5519567
uni_v1,45dB,0.3744886
uni_v1,45dB,0.4172024
uni_v1,45dB,0.6149609
uni_v1,45dB,0.49770725
uni_v1,45dB,0.42572206
uni_v1,45dB,0.44125366
uni_v1,45dB,0.5607028
uni_v1,45dB,0.40558523
uni_v1,45dB,0.58603853
uni_v1,45dB,0.4295367
uni_v1,45dB,0.38121456
uni_v1,45dB,0.40904137
uni_v1,45dB,0.3050762
uni_v1,45dB,0.46919283
uni_v1,45dB,0.46294037
uni_v1,45dB,0.41750374
uni_v1,45dB,0.26252133
uni_v1,45dB,0.4903888
uni_v1,45dB,0.40617883
uni_v1,45dB,0.38311774
uni_v1,45dB,0.72980374
uni_v1,45dB,0.72133386
uni_v1,45dB,0.56563467
uni_v1,45dB,0.33433357
uni_v1,45dB,0.42587993
uni_v1,45dB,0.45356673
uni_v1,45dB,0.46823186
uni_v1,45dB,0.6000045
uni_v1,45dB,0.32682398
uni_v1,45dB,0.37307844
uni_v1,45dB,0.4615333
uni_v1,45dB,0.48852453
uni_v1,45dB,0.4066368
uni_v1,45dB,0.44919395
uni_v1,45dB,0.6395082
uni_v1,45dB,0.48445183
uni_v1,45dB,0.63548976
uni_v1,45dB,0.5348655
uni_v1,45dB,0.45428443
uni_v1,45dB,0.6746516
uni_v1,45dB,0.49689585
uni_v1,45dB,0.57286763
uni_v1,45dB,0.39144093
uni_v1,45dB,0.35527748
uni_v1,45dB,0.70062923
uni_v1,45dB,0.40500256
uni_v1,45dB,0.77481776
uni_v1,45dB,0.6149952
uni_v1,45dB,0.48799273
uni_v1,45dB,0.26986846
uni_v1,45dB,0.57099247
uni_v1,45dB,0.5964079
